"<54>Aug 28 16:51:51 HL-ANTIVIRUS SymantecServer: ADPTKLT212","SHA-256: ","MD-5: ","Local: 192.168.0.8","Local: 3","Local: D43B047D4731","Remote: 208.59.247.46","Remote: ","Remote: 3","Remote: 5C8FE01D8667","ICMP","Outbound","Begin: 2019-08-28 15:32:28","End: 2019-08-28 15:32:28","Occurrences: 1","Application: ","Rule: Block all other IP traffic and log","Location: External","User: jdimauro","Domain: ADAPTIK","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<54>Aug 28 16:24:47 HL-ANTIVIRUS SymantecServer: KALT-TomaszD","SHA-256: ","MD-5: ","Local: 10.181.10.10","Local: 3","Local: 54EE757094F0","Remote: 10.181.100.11","Remote: KTWDC01.sapiens.int","Remote: 3","Remote: 00A5BF471BC6","ICMP","Outbound","Begin: 2019-08-28 15:32:20","End: 2019-08-28 15:32:20","Occurrences: 1","Application: ","Rule: Block all other IP traffic and log","Location: External","User: tomasz.dacy","Domain: SAPIENS","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<54>Aug 28 15:33:42 HL-ANTIVIRUS SymantecServer: ADPTKLT058","SHA-256: ","MD-5: ","Local: 172.17.31.80","Local: 8080","Local: 0050B65B06F9","Remote: 172.17.31.153","Remote: ","Remote: 62421","Remote: 0050B67D0DAE","TCP","Inbound","Begin: 2019-08-28 15:32:20","End: 2019-08-28 15:32:29","Occurrences: 3","Application: ","Rule: Block all other IP traffic and log","Location: External","User: pzubia","Domain: ADAPTIK","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<54>Aug 28 16:24:47 HL-ANTIVIRUS SymantecServer: KALT-TomaszD","SHA-256: ","MD-5: ","Local: 10.6.13.201","Local: 3","Local: 00059A3C7A00","Remote: 10.5.32.101","Remote: ","Remote: 3","Remote: 001122334455","ICMP","Outbound","Begin: 2019-08-28 15:32:20","End: 2019-08-28 15:32:20","Occurrences: 1","Application: ","Rule: Block all other IP traffic and log","Location: External","User: tomasz.dacy","Domain: SAPIENS","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<54>Aug 28 15:33:42 HL-ANTIVIRUS SymantecServer: ADPTKLT058","SHA-256: ","MD-5: ","Local: 172.17.31.78","Local: 8080","Local: 681729EC8D3A","Remote: 172.17.31.66","Remote: ","Remote: 61393","Remote: 507B9D26F52D","TCP","Inbound","Begin: 2019-08-28 15:32:20","End: 2019-08-28 15:32:23","Occurrences: 2","Application: ","Rule: Block all other IP traffic and log","Location: External","User: pzubia","Domain: ADAPTIK","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<54>Aug 28 15:42:13 HL-ANTIVIRUS SymantecServer: HLLT-LOANER05","SHA-256: ","MD-5: ","Local: 192.168.1.26","Local: 3","Local: E82AEA26EFEE","Remote: 213.57.2.5","Remote: ","Remote: 3","Remote: 086A0A20A96A","ICMP","Outbound","Begin: 2019-08-28 15:32:17","End: 2019-08-28 15:32:17","Occurrences: 1","Application: ","Rule: Block all other IP traffic and log","Location: External","User: sazriel","Domain: SAPIENS","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<54>Aug 28 15:33:42 HL-ANTIVIRUS SymantecServer: ADPTKLT058","SHA-256: ","MD-5: ","Local: 172.17.31.78","Local: 8080","Local: 681729EC8D3A","Remote: 172.17.31.66","Remote: ","Remote: 61392","Remote: 507B9D26F52D","TCP","Inbound","Begin: 2019-08-28 15:32:16","End: 2019-08-28 15:32:19","Occurrences: 2","Application: ","Rule: Block all other IP traffic and log","Location: External","User: pzubia","Domain: ADAPTIK","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<54>Aug 28 16:07:59 HL-ANTIVIRUS SymantecServer: ADPTKLT156","SHA-256: ","MD-5: ","Local: 192.168.0.19","Local: 3","Local: 983B8F7B3B7B","Remote: 209.18.47.62","Remote: ","Remote: 3","Remote: E0885D13FF3E","ICMP","Outbound","Begin: 2019-08-28 15:32:14","End: 2019-08-28 15:32:14","Occurrences: 1","Application: ","Rule: Block all other IP traffic and log","Location: External","User: jkearse","Domain: ADAPTIK","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<54>Aug 28 16:07:59 HL-ANTIVIRUS SymantecServer: ADPTKLT156","SHA-256: ","MD-5: ","Local: 192.168.0.19","Local: 3","Local: 983B8F7B3B7B","Remote: 209.18.47.63","Remote: ","Remote: 3","Remote: E0885D13FF3E","ICMP","Outbound","Begin: 2019-08-28 15:32:14","End: 2019-08-28 15:32:14","Occurrences: 1","Application: ","Rule: Block all other IP traffic and log","Location: External","User: jkearse","Domain: ADAPTIK","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<54>Aug 28 15:44:19 HL-ANTIVIRUS SymantecServer: KALT-BeataR","SHA-256: ","MD-5: ","Local: 10.6.12.5","Local: 3","Local: 00059A3C7A00","Remote: 10.5.32.102","Remote: ","Remote: 3","Remote: 001122334455","ICMP","Outbound","Begin: 2019-08-28 15:32:14","End: 2019-08-28 15:32:14","Occurrences: 1","Application: ","Rule: Block all other IP traffic and log","Location: External","User: beata.rusek","Domain: SAPIENS","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<54>Aug 28 16:51:51 HL-ANTIVIRUS SymantecServer: ADPTKLT212","SHA-256: ","MD-5: ","Local: 192.168.0.8","Local: 3","Local: D43B047D4731","Remote: 208.59.247.46","Remote: ","Remote: 3","Remote: 5C8FE01D8667","ICMP","Outbound","Begin: 2019-08-28 15:32:14","End: 2019-08-28 15:32:14","Occurrences: 1","Application: ","Rule: Block all other IP traffic and log","Location: External","User: jdimauro","Domain: ADAPTIK","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<54>Aug 28 15:33:42 HL-ANTIVIRUS SymantecServer: ADPTKLT058","SHA-256: ","MD-5: ","Local: 172.17.31.78","Local: 8080","Local: 681729EC8D3A","Remote: 172.17.31.66","Remote: ","Remote: 61389","Remote: 507B9D26F52D","TCP","Inbound","Begin: 2019-08-28 15:32:11","End: 2019-08-28 15:32:20","Occurrences: 3","Application: ","Rule: Block all other IP traffic and log","Location: External","User: pzubia","Domain: ADAPTIK","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<54>Aug 28 15:33:00 HL-ANTIVIRUS SymantecServer: ADPTKLT058","SHA-256: ","MD-5: ","Local: 172.17.31.80","Local: 3","Local: 0050B65B06F9","Remote: 172.17.1.3","Remote: BDC.adaptik.net","Remote: 3","Remote: 002219216F7E","ICMP","Outbound","Begin: 2019-08-28 15:32:10","End: 2019-08-28 15:32:10","Occurrences: 1","Application: ","Rule: Block all other IP traffic and log","Location: External","User: pzubia","Domain: ADAPTIK","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<54>Aug 28 15:33:00 HL-ANTIVIRUS SymantecServer: ADPTKLT058","SHA-256: ","MD-5: ","Local: 172.17.31.78","Local: 8080","Local: 681729EC8D3A","Remote: 172.17.31.66","Remote: ","Remote: 61388","Remote: 507B9D26F52D","TCP","Inbound","Begin: 2019-08-28 15:32:10","End: 2019-08-28 15:32:13","Occurrences: 2","Application: ","Rule: Block all other IP traffic and log","Location: External","User: pzubia","Domain: ADAPTIK","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
