"Time","Header","half0_0","half0_1","half0_2","half0_3","half1_3","half1_2","half1_1","half1_0","Priority_Index","H_U","Class_Type","Address","Data_Item_Type","Data_Item_Number","Counter","Att"
"3665640969","00002094000C","0","0","0","0","AA","FF","0","0"
"3665640969","00002094008E","0","2","0","1","AA","18","5","0"
"3665640969","20940100","0","0","0","0","AA","FF","0","0"
"3665640969","20940182","0","0","0","0","AA","FF","0","0"
"3665640969","20940204","0","2","0","1","AA","18","2","0"
"3665640969","20940286","0","0","0","0","AA","4","2","0"
"3665640969","20944008","0","0","2","0","AA","4","5","0"
"3665640969","00002206008E","0","0","0","0","0","0","0","0"
"3665640969","37860000","20","0","0","1","20","0","7F","98"
"3665640969","37860082","20","0","0","1","20","0","7F","98"
"3665640969","37868084","1","77","6D","A3","0","4","0","4"
"3665640969","37868106","1","A4","6D","C4","14","1C","0","1"
"3665640969","00002094408A","0","0","1","1","AA","4","2","1"
"3665640969","00002094410C","0","0","1","0","AA","FF","0","0"
"3665640969","00002094800E","0","0","0","0","AA","18","5","0"
"3665640969","20948080","0","0","0","1","AA","9","5","0"
"3665640969","20948102","0","0","0","1","AA","9","5","0"
"3665640969","20948184","0","0","0","0","AA","4","5","0"
"3665640969","20948206","0","0","0","0","AA","4","5","0"
"3665640969","0000208C000C","0","3","0","1","AA","4","5","0"
"3665640969","0000208C008E","0","16","0","1","AA","13","5","0"
"3665640969","0000208C0100","0","0","0","0","AA","FF","0","0"
"3665640969","0000208C0182","0","3","0","0","AA","FF","0","0"
"3665640969","0000208C0204","0","16","0","1","AA","5","2","0"
"3665640969","0000208C0286","0","0","0","0","AA","FF","0","0"
"3665640969","0000208C4008","0","0","2","0","AA","FF","0","0"
"3665640969","0000208C408A","0","0A","1","1","AA","4","2","1"
"3665640969","0000208C410C","0","0","1","0","AA","FF","0","0"
"3665640969","0000208C800E","0","0","0","0","AA","18","5","0"
"3665640969","0000208C8080","0","0","0","1","AA","9","5","0"
"3665640969","0000208C8102","0","0","0","1","AA","9","5","0"
"3665640969","0000208C8184","0","0","0","0","AA","FF","0","0"
"3665640969","0000208C8206","0","0","0","0","AA","FF","0","0"
"3665640969","00002092000C","0","0","0","0","AA","FF","0","0"
"3665640969","00002092008E","0","6","0","1","AA","5","5","0"
"3665640969","20920100","0","0","0","0","AA","FF","0","0"
"3665640969","20920182","0","0","0","0","AA","FF","0","0"
"3665640969","20920204","0","6","0","1","AA","5","2","0"
"3665640969","20920286","0","0","0","0","AA","FF","0","0"
"3665640969","20924008","0","0","2","0","AA","4","5","0"
"3665640969","00002092408A","0","0","1","1","AA","4","2","0"
"3665640969","00002092410C","0","0","1","0","AA","FF","0","0"
"3665640969","00002092800E","0","0","0","0","AA","18","5","0"
"3665640969","20928080","0","0","0","1","AA","9","5","0"
"3665640969","20928102","0","0","0","1","AA","9","5","0"
"3665640969","20928184","0","0","0","1","AA","4","5","0"
"3665640969","20928206","0","0","0","0","AA","FF","0","0"
"3665640969","0000208A000C","0","0","0","0","AA","5","5","0"
"3665640969","0000208A008E","0","4","0","1","AA","F9","5","0"
"3665640969","0000208A0100","0","0","0","0","AA","FF","0","0"
"3665640969","0000208A0182","0","0","0","0","AA","5","2","0"
"3665640969","0000208A0204","0","4","0","0","AA","5","2","0"
"3665640969","0000208A0286","0","0","0","0","AA","FF","0","0"
"3665640969","0000208A4008","0","0","2","0","AA","FF","0","0"
